Intersection,PlanName,StartTime,EndTime,Cycle,PhasePlannedGreenTime,PhasePlannedYRTime
5083,E,0,6,110,20;27;20;27;20;27;20;27,3;5;3;5;3;5;3;5
5083,E,21,24,110,20;27;20;27;20;27;20;27,3;5;3;5;3;5;3;5
5083,P1,9,15.5,120,15;39;14;36;15;39;14;36,3;5;3;5;3;5;3;5
5083,P1,19,21,120,15;39;14;36;15;39;14;36,3;5;3;5;3;5;3;5
5083,P2,6,9,120,11;46;11;36;11;46;11;36,3;5;3;5;3;5;3;5
5083,P3,15.5,19,120,15;41;12;36;15;41;12;36,3;5;3;5;3;5;3;5
6081,E,0,6,90,20;28;0;31;20;28;0;31,3;4;0;4;3;4;0;4
6081,E,21,24,90,20;28;0;31;20;28;0;31,3;4;0;4;3;4;0;4
6081,P1,9,15.5,120,10;74;0;25;10;74;0;25,3;4;0;4;3;4;0;4
6081,P1,19,21,120,10;74;0;25;10;74;0;25,3;4;0;4;3;4;0;4
6081,P2,6,9,120,10;74;0;25;10;74;0;25,3;4;0;4;3;4;0;4
6081,P3,15.5,19,120,10;74;0;25;10;74;0;25,3;4;0;4;3;4;0;4
6082,E,0,6,90,20;27;0;30;20;27;0;30,3;5;0;5;3;5;0;5
6082,E,21,24,90,20;27;0;30;20;27;0;30,3;5;0;5;3;5;0;5
6082,P1,9,15.5,120,15;67;0;25;15;67;0;25,3;5;0;5;3;5;0;5
6082,P1,19,21,120,15;67;0;25;15;67;0;25,3;5;0;5;3;5;0;5
6082,P2,6,9,120,10;72;0;25;10;72;0;25,3;5;0;5;3;5;0;5
6082,P3,15.5,19,120,20;62;0;25;20;62;0;25,3;5;0;5;3;5;0;5
