from,to,cost
508302,508205,0.425
508302,509101,0.5416666666666666
508302,509105,0.5416666666666666
508302,507202,0.425
508302,507206,0.425
508306,508205,0.425
508306,509101,0.5416666666666666
508306,509105,0.5416666666666666
508306,507202,0.425
508306,507206,0.425
608101,508302,0.65
608101,508306,0.65
608105,508302,0.65
608105,508306,0.65
608104,508302,0.0
608104,508306,0.0
608107,508302,0.24166666666666667
608107,508306,0.24166666666666667
508302,508302,1.0
508306,508306,1.0
508205,508205,1.0
507202,507202,1.0
507206,507206,1.0
509101,509101,1.0
509105,509105,1.0
608101,608101,1.0
608105,608105,1.0
608107,608107,1.0
608104,608104,1.0
